Police Action,District,N,Number of Records,Period,Station,Breach Type,Country,Alert Level,Area
Written Warning,Southern,8,1,COVID-19,Te Anau,Health Act Breach,New Zealand,3,Southland Area
Written Warning,Southern,1,1,COVID-19,Winton,Health Act Breach,New Zealand,3,Southland Area
Written Warning,Tasman,4,1,COVID-19,Blenheim,Health Act Breach,New Zealand,3,Marlborough Area
Written Warning,Tasman,3,1,COVID-19,Picton,Health Act Breach,New Zealand,3,Marlborough Area
Written Warning,Tasman,1,1,COVID-19,Motueka,Health Act Breach,New Zealand,3,Nelson Bays Area
Written Warning,Tasman,3,1,COVID-19,Murchison,Health Act Breach,New Zealand,3,Nelson Bays Area
Written Warning,Tasman,5,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,3,Nelson Bays Area
Written Warning,Tasman,4,1,COVID-19,Richmond,Health Act Breach,New Zealand,3,Nelson Bays Area
Written Warning,Tasman,1,1,COVID-19,Greymouth,Health Act Breach,New Zealand,3,West Coast Area
Written Warning,Tasman,2,1,COVID-19,Westport,Health Act Breach,New Zealand,3,West Coast Area
Written Warning,Waikato,5,1,COVID-19,Hamilton Central,Health Act Breach,New Zealand,3,Hamilton City Area
Written Warning,Waikato,2,1,COVID-19,Hamilton East,Health Act Breach,New Zealand,3,Hamilton City Area
Written Warning,Waikato,3,1,COVID-19,Hamilton North,Health Act Breach,New Zealand,3,Hamilton City Area
Written Warning,Waikato,1,1,COVID-19,Hamilton West,Health Act Breach,New Zealand,3,Hamilton City Area
Written Warning,Waikato,2,1,COVID-19,Matamata,Health Act Breach,New Zealand,3,Waikato East Area
Written Warning,Waikato,1,1,COVID-19,Morrinsville,Health Act Breach,New Zealand,3,Waikato East Area
Written Warning,Waikato,1,1,COVID-19,Paeroa,Health Act Breach,New Zealand,3,Waikato East Area
Written Warning,Waikato,1,1,COVID-19,Waihi,Health Act Breach,New Zealand,3,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Whangamata,Health Act Breach,New Zealand,3,Waikato East Area
Written Warning,Waikato,3,1,COVID-19,Cambridge,Health Act Breach,New Zealand,3,Waikato West Area
Written Warning,Waikato,5,1,COVID-19,Te Awamutu,Health Act Breach,New Zealand,3,Waikato West Area
Written Warning,Waitemata,3,1,COVID-19,Glenfield,Health Act Breach,New Zealand,3,Waitemata East Area
Written Warning,Waitemata,1,1,COVID-19,North Shore Policing Centre,Health Act Breach,New Zealand,3,Waitemata East Area
Written Warning,Waitemata,3,1,COVID-19,Takapuna,Health Act Breach,New Zealand,3,Waitemata East Area
Written Warning,Waitemata,1,1,COVID-19,Orewa,Health Act Breach,New Zealand,3,Waitemata North Area
Written Warning,Waitemata,1,1,COVID-19,Warkworth,Health Act Breach,New Zealand,3,Waitemata North Area
Written Warning,Waitemata,2,1,COVID-19,Whangaparaoa,Health Act Breach,New Zealand,3,Waitemata North Area
Written Warning,Waitemata,12,1,COVID-19,Henderson,Health Act Breach,New Zealand,3,Waitemata West Area
Written Warning,Waitemata,1,1,COVID-19,Massey,Health Act Breach,New Zealand,3,Waitemata West Area
Written Warning,Waitemata,2,1,COVID-19,New Lynn,Health Act Breach,New Zealand,3,Waitemata West Area
Written Warning,Wellington,2,1,COVID-19,Naenae,Health Act Breach,New Zealand,3,Hutt Valley Area
Written Warning,Wellington,1,1,COVID-19,Upper Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Written Warning,Wellington,1,1,COVID-19,Wainuiomata,Health Act Breach,New Zealand,3,Hutt Valley Area
Written Warning,Wellington,4,1,COVID-19,Waitangirua,Health Act Breach,New Zealand,3,Kapiti-Mana Area
Written Warning,Wellington,1,1,COVID-19,Masterton,Health Act Breach,New Zealand,3,Wairarapa Area
Written Warning,Wellington,1,1,COVID-19,Johnsonville,Health Act Breach,New Zealand,3,Wellington Area
Written Warning,Wellington,13,1,COVID-19,Wellington Central,Health Act Breach,New Zealand,3,Wellington Area
Youth Referral,Auckland City,2,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,3,Auckland Central Area
Youth Referral,Auckland City,2,1,COVID-19,Balmoral,Health Act Breach,New Zealand,3,Auckland West Area
Youth Referral,Bay Of Plenty,1,1,COVID-19,Taupo,Health Act Breach,New Zealand,3,Taupo Area
Youth Referral,Central,1,1,COVID-19,Highbury,Health Act Breach,New Zealand,3,Manawatu Area
Youth Referral,Central,4,1,COVID-19,Palmerston North,Health Act Breach,New Zealand,3,Manawatu Area
Youth Referral,Central,2,1,COVID-19,Rossmont Cpc,Health Act Breach,New Zealand,3,Manawatu Area
Youth Referral,Central,1,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,3,Taranaki Area
Youth Referral,Counties/Manukau,5,1,COVID-19,Manurewa,Health Act Breach,New Zealand,3,Counties Manukau Central Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Beachlands Ccb,Health Act Breach,New Zealand,3,Counties Manukau East Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,3,Counties Manukau South Area
Youth Referral,Counties/Manukau,3,1,COVID-19,Mangere,Health Act Breach,New Zealand,3,Counties Manukau West Area
Youth Referral,Counties/Manukau,1,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,3,Counties Manukau West Area
Youth Referral,Eastern,1,1,COVID-19,Napier,Health Act Breach,New Zealand,3,Hawkes Bay Area
Youth Referral,Southern,2,1,COVID-19,Oamaru,Health Act Breach,New Zealand,3,Otago Coastal Area
Youth Referral,Southern,3,1,COVID-19,Alexandra,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Youth Referral,Southern,2,1,COVID-19,Queenstown,Health Act Breach,New Zealand,3,Otago Lakes Central Area
Youth Referral,Southern,2,1,COVID-19,Invercargill Central,Health Act Breach,New Zealand,3,Southland Area
Youth Referral,Tasman,2,1,COVID-19,Nelson Central,Health Act Breach,New Zealand,3,Nelson Bays Area
Youth Referral,Tasman,4,1,COVID-19,Richmond,Health Act Breach,New Zealand,3,Nelson Bays Area
Youth Referral,Tasman,1,1,COVID-19,Greymouth,Health Act Breach,New Zealand,3,West Coast Area
Youth Referral,Waikato,2,1,COVID-19,Cambridge,Health Act Breach,New Zealand,3,Waikato West Area
Youth Referral,Wellington,3,1,COVID-19,Lower Hutt,Health Act Breach,New Zealand,3,Hutt Valley Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Katikati,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Tauranga,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,2,1,COVID-19,Tauranga South,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Canterbury,1,1,COVID-19,New Brighton,CDEM Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,1,1,COVID-19,Papanui,CDEM Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Central,2,1,COVID-19,Ohakune,CDEM Breach,New Zealand,4,Whanganui Area
Prosecution,Eastern,1,1,COVID-19,Napier,CDEM Breach,New Zealand,4,Hawkes Bay Area
Prosecution,Eastern,1,1,COVID-19,Wairoa,CDEM Breach,New Zealand,4,Tairawhiti Area
Prosecution,Northland,1,1,COVID-19,Hikurangi,CDEM Breach,New Zealand,4,Whangarei Area
Prosecution,Northland,6,1,COVID-19,Whangarei,CDEM Breach,New Zealand,4,Whangarei Area
Prosecution,Southern,1,1,COVID-19,Invercargill Central,CDEM Breach,New Zealand,4,Southland Area
Prosecution,Southern,1,1,COVID-19,Te Anau,CDEM Breach,New Zealand,4,Southland Area
Prosecution,Tasman,1,1,COVID-19,Motueka,CDEM Breach,New Zealand,4,Nelson Bays Area
Prosecution,Waikato,1,1,COVID-19,Hamilton Central,CDEM Breach,New Zealand,4,Hamilton City Area
Prosecution,Waitemata,1,1,COVID-19,Takapuna,CDEM Breach,New Zealand,4,Waitemata East Area
Prosecution,Wellington,2,1,COVID-19,Porirua Central,CDEM Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Auckland City,6,1,COVID-19,Auckland Central,CDEM Breach,New Zealand,4,Auckland Central Area
Verbal Warning,Auckland City,4,1,COVID-19,Great Barrier Island,CDEM Breach,New Zealand,4,Auckland Central Area
Verbal Warning,Auckland City,3,1,COVID-19,Waiheke Island,CDEM Breach,New Zealand,4,Auckland Central Area
Verbal Warning,Auckland City,7,1,COVID-19,Glen Innes,CDEM Breach,New Zealand,4,Auckland East Area
Verbal Warning,Auckland City,2,1,COVID-19,Balmoral,CDEM Breach,New Zealand,4,Auckland West Area
Verbal Warning,Auckland City,3,1,COVID-19,Ponsonby,CDEM Breach,New Zealand,4,Auckland West Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Rotorua,CDEM Breach,New Zealand,4,Rotorua Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Taupo,CDEM Breach,New Zealand,4,Taupo Area
Verbal Warning,Bay Of Plenty,6,1,COVID-19,Katikati,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,4,1,COVID-19,Mount Maunganui,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Bay Of Plenty,1,1,COVID-19,Tauranga South,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Verbal Warning,Canterbury,1,1,COVID-19,Temuka,CDEM Breach,New Zealand,4,Mid / South Canterbury Area
Verbal Warning,Central,1,1,COVID-19,Feilding,CDEM Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,1,1,COVID-19,Palmerston North,CDEM Breach,New Zealand,4,Manawatu Area
Verbal Warning,Central,2,1,COVID-19,Stratford,CDEM Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,1,1,COVID-19,Waitara,CDEM Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,2,1,COVID-19,Westown,CDEM Breach,New Zealand,4,Taranaki Area
Verbal Warning,Central,1,1,COVID-19,Ohakune,CDEM Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,3,1,COVID-19,Taumarunui,CDEM Breach,New Zealand,4,Whanganui Area
Verbal Warning,Central,1,1,COVID-19,Whanganui,CDEM Breach,New Zealand,4,Whanganui Area
Verbal Warning,Counties/Manukau,2,1,COVID-19,Manurewa,CDEM Breach,New Zealand,4,Counties Manukau Central Area
Verbal Warning,Counties/Manukau,2,1,COVID-19,Otara,CDEM Breach,New Zealand,4,Counties Manukau East Area
Verbal Warning,Counties/Manukau,14,1,COVID-19,Papakura,CDEM Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,3,1,COVID-19,Pukekohe,CDEM Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Waiuku,CDEM Breach,New Zealand,4,Counties Manukau South Area
Verbal Warning,Counties/Manukau,30,1,COVID-19,Mangere,CDEM Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Counties/Manukau,1,1,COVID-19,Otahuhu,CDEM Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Counties/Manukau,7,1,COVID-19,Papatoetoe,CDEM Breach,New Zealand,4,Counties Manukau West Area
Verbal Warning,Eastern,1,1,COVID-19,Bay View,CDEM Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,2,1,COVID-19,Hastings,CDEM Breach,New Zealand,4,Hawkes Bay Area
Verbal Warning,Eastern,17,1,COVID-19,Gisborne,CDEM Breach,New Zealand,4,Tairawhiti Area
Verbal Warning,Eastern,1,1,COVID-19,Wairoa,CDEM Breach,New Zealand,4,Tairawhiti Area
Verbal Warning,Northland,3,1,COVID-19,Kaikohe,CDEM Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,5,1,COVID-19,Kaitaia,CDEM Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,3,1,COVID-19,Mangonui,CDEM Breach,New Zealand,4,Far North Area
Verbal Warning,Northland,4,1,COVID-19,Dargaville,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,3,1,COVID-19,Kamo Cpc,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,1,1,COVID-19,Maungaturoto,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,1,1,COVID-19,Onerahi Cpc,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,3,1,COVID-19,Ruakaka,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Northland,13,1,COVID-19,Whangarei,CDEM Breach,New Zealand,4,Whangarei Area
Verbal Warning,Southern,1,1,COVID-19,Balclutha,CDEM Breach,New Zealand,4,Otago Coastal Area
Verbal Warning,Southern,2,1,COVID-19,Riversdale,CDEM Breach,New Zealand,4,Southland Area
Verbal Warning,Southern,2,1,COVID-19,Te Anau,CDEM Breach,New Zealand,4,Southland Area
Verbal Warning,Tasman,7,1,COVID-19,Picton,CDEM Breach,New Zealand,4,Marlborough Area
Verbal Warning,Tasman,4,1,COVID-19,Motueka,CDEM Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,1,1,COVID-19,Takaka,CDEM Breach,New Zealand,4,Nelson Bays Area
Verbal Warning,Tasman,2,1,COVID-19,Karamea,CDEM Breach,New Zealand,4,West Coast Area
Verbal Warning,Waikato,13,1,COVID-19,Hamilton Central,CDEM Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,7,1,COVID-19,Hamilton East,CDEM Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,5,1,COVID-19,Hamilton North,CDEM Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,8,1,COVID-19,Hamilton West,CDEM Breach,New Zealand,4,Hamilton City Area
Verbal Warning,Waikato,1,1,COVID-19,Coromandel,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,1,1,COVID-19,Morrinsville,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,3,1,COVID-19,Paeroa,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,2,1,COVID-19,Te Aroha,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,11,1,COVID-19,Thames,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,2,1,COVID-19,Waihi,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,2,1,COVID-19,Waihi Beach,CDEM Breach,New Zealand,4,Waikato East Area
Verbal Warning,Waikato,8,1,COVID-19,Cambridge,CDEM Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,1,1,COVID-19,Raglan,CDEM Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,10,1,COVID-19,Te Awamutu,CDEM Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waikato,1,1,COVID-19,Te Kauwhata,CDEM Breach,New Zealand,4,Waikato West Area
Verbal Warning,Waitemata,2,1,COVID-19,Albany Cpc,CDEM Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,1,1,COVID-19,Glenfield,CDEM Breach,New Zealand,4,Waitemata East Area
Verbal Warning,Waitemata,1,1,COVID-19,Whangaparaoa,CDEM Breach,New Zealand,4,Waitemata North Area
Verbal Warning,Waitemata,4,1,COVID-19,Henderson,CDEM Breach,New Zealand,4,Waitemata West Area
Verbal Warning,Waitemata,3,1,COVID-19,Massey,CDEM Breach,New Zealand,4,Waitemata West Area
Verbal Warning,Waitemata,2,1,COVID-19,New Lynn,CDEM Breach,New Zealand,4,Waitemata West Area
Verbal Warning,Wellington,2,1,COVID-19,Eastbourne,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,25,1,COVID-19,Lower Hutt,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,14,1,COVID-19,Naenae,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,4,1,COVID-19,Petone,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,17,1,COVID-19,Upper Hutt,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,5,1,COVID-19,Wainuiomata,CDEM Breach,New Zealand,4,Hutt Valley Area
Verbal Warning,Wellington,6,1,COVID-19,Kapiti,CDEM Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,2,1,COVID-19,Porirua Central,CDEM Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,15,1,COVID-19,Waitangirua,CDEM Breach,New Zealand,4,Kapiti-Mana Area
Verbal Warning,Wellington,1,1,COVID-19,Carterton,CDEM Breach,New Zealand,4,Wairarapa Area
Verbal Warning,Wellington,3,1,COVID-19,Featherston,CDEM Breach,New Zealand,4,Wairarapa Area
Verbal Warning,Wellington,11,1,COVID-19,Masterton,CDEM Breach,New Zealand,4,Wairarapa Area
Verbal Warning,Wellington,1,1,COVID-19,Chatham Islands,CDEM Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,14,1,COVID-19,Johnsonville,CDEM Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,13,1,COVID-19,Kilbirnie,CDEM Breach,New Zealand,4,Wellington Area
Verbal Warning,Wellington,24,1,COVID-19,Wellington Central,CDEM Breach,New Zealand,4,Wellington Area
Written Warning,Auckland City,3,1,COVID-19,Glen Innes,CDEM Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,2,1,COVID-19,Mount Wellington,CDEM Breach,New Zealand,4,Auckland East Area
Written Warning,Auckland City,2,1,COVID-19,Balmoral,CDEM Breach,New Zealand,4,Auckland West Area
Written Warning,Bay Of Plenty,1,1,COVID-19,Tauranga,CDEM Breach,New Zealand,4,Western Bay Of Plenty Area
Written Warning,Central,1,1,COVID-19,Hawera,CDEM Breach,New Zealand,4,Taranaki Area
Written Warning,Central,2,1,COVID-19,Ohakune,CDEM Breach,New Zealand,4,Whanganui Area
Written Warning,Central,1,1,COVID-19,Taumarunui,CDEM Breach,New Zealand,4,Whanganui Area
Written Warning,Counties/Manukau,1,1,COVID-19,Mangere,CDEM Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Counties/Manukau,1,1,COVID-19,Otahuhu,CDEM Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Counties/Manukau,1,1,COVID-19,Papatoetoe,CDEM Breach,New Zealand,4,Counties Manukau West Area
Written Warning,Eastern,1,1,COVID-19,Napier,CDEM Breach,New Zealand,4,Hawkes Bay Area
Written Warning,Eastern,2,1,COVID-19,Gisborne,CDEM Breach,New Zealand,4,Tairawhiti Area
Written Warning,Eastern,2,1,COVID-19,Wairoa,CDEM Breach,New Zealand,4,Tairawhiti Area
Written Warning,Northland,6,1,COVID-19,Whangarei,CDEM Breach,New Zealand,4,Whangarei Area
Written Warning,Southern,1,1,COVID-19,Alexandra,CDEM Breach,New Zealand,4,Otago Lakes Central Area
Written Warning,Southern,4,1,COVID-19,Invercargill Central,CDEM Breach,New Zealand,4,Southland Area
Written Warning,Southern,1,1,COVID-19,Riversdale,CDEM Breach,New Zealand,4,Southland Area
Written Warning,Tasman,1,1,COVID-19,Blenheim,CDEM Breach,New Zealand,4,Marlborough Area
Written Warning,Waikato,3,1,COVID-19,Hamilton Central,CDEM Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,1,1,COVID-19,Hamilton East,CDEM Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,1,1,COVID-19,Hamilton North,CDEM Breach,New Zealand,4,Hamilton City Area
Written Warning,Waikato,1,1,COVID-19,Matamata,CDEM Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Ngatea,CDEM Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,1,1,COVID-19,Paeroa,CDEM Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Thames,CDEM Breach,New Zealand,4,Waikato East Area
Written Warning,Waikato,2,1,COVID-19,Huntly,CDEM Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,1,1,COVID-19,Ngaruawahia,CDEM Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,3,1,COVID-19,Otorohanga,CDEM Breach,New Zealand,4,Waikato West Area
Written Warning,Waikato,2,1,COVID-19,Te Awamutu,CDEM Breach,New Zealand,4,Waikato West Area
Written Warning,Waitemata,1,1,COVID-19,Henderson,CDEM Breach,New Zealand,4,Waitemata West Area
Written Warning,Wellington,1,1,COVID-19,Petone,CDEM Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,2,1,COVID-19,Wainuiomata,CDEM Breach,New Zealand,4,Hutt Valley Area
Written Warning,Wellington,3,1,COVID-19,Waitangirua,CDEM Breach,New Zealand,4,Kapiti-Mana Area
Written Warning,Wellington,2,1,COVID-19,Johnsonville,CDEM Breach,New Zealand,4,Wellington Area
Written Warning,Wellington,1,1,COVID-19,Kilbirnie,CDEM Breach,New Zealand,4,Wellington Area
Written Warning,Wellington,8,1,COVID-19,Wellington Central,CDEM Breach,New Zealand,4,Wellington Area
Youth Referral,Eastern,5,1,COVID-19,Gisborne,CDEM Breach,New Zealand,4,Tairawhiti Area
Youth Referral,Northland,4,1,COVID-19,Whangarei,CDEM Breach,New Zealand,4,Whangarei Area
Youth Referral,Southern,1,1,COVID-19,Invercargill Central,CDEM Breach,New Zealand,4,Southland Area
Youth Referral,Tasman,1,1,COVID-19,Takaka,CDEM Breach,New Zealand,4,Nelson Bays Area
Youth Referral,Tasman,3,1,COVID-19,Greymouth,CDEM Breach,New Zealand,4,West Coast Area
Youth Referral,Waikato,1,1,COVID-19,Hamilton Central,CDEM Breach,New Zealand,4,Hamilton City Area
Youth Referral,Wellington,2,1,COVID-19,Masterton,CDEM Breach,New Zealand,4,Wairarapa Area
Youth Referral,Wellington,2,1,COVID-19,Wellington Central,CDEM Breach,New Zealand,4,Wellington Area
Prosecution,Auckland City,7,1,COVID-19,Auckland Central,Health Act Breach,New Zealand,4,Auckland Central Area
Prosecution,Auckland City,2,1,COVID-19,Waiheke Island,Health Act Breach,New Zealand,4,Auckland Central Area
Prosecution,Auckland City,2,1,COVID-19,Glen Innes,Health Act Breach,New Zealand,4,Auckland East Area
Prosecution,Auckland City,2,1,COVID-19,Newmarket,Health Act Breach,New Zealand,4,Auckland East Area
Prosecution,Auckland City,1,1,COVID-19,Onehunga,Health Act Breach,New Zealand,4,Auckland East Area
Prosecution,Auckland City,5,1,COVID-19,Avondale,Health Act Breach,New Zealand,4,Auckland West Area
Prosecution,Auckland City,1,1,COVID-19,Balmoral,Health Act Breach,New Zealand,4,Auckland West Area
Prosecution,Auckland City,6,1,COVID-19,Ponsonby,Health Act Breach,New Zealand,4,Auckland West Area
Prosecution,Bay Of Plenty,3,1,COVID-19,Whakatane,Health Act Breach,New Zealand,4,Eastern Bay Of Plenty Area
Prosecution,Bay Of Plenty,6,1,COVID-19,Rotorua,Health Act Breach,New Zealand,4,Rotorua Area
Prosecution,Bay Of Plenty,3,1,COVID-19,Putaruru,Health Act Breach,New Zealand,4,Taupo Area
Prosecution,Bay Of Plenty,11,1,COVID-19,Taupo,Health Act Breach,New Zealand,4,Taupo Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Tokoroa,Health Act Breach,New Zealand,4,Taupo Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Katikati,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,5,1,COVID-19,Mount Maunganui,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,1,1,COVID-19,Papamoa,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,3,1,COVID-19,Tauranga,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,5,1,COVID-19,Tauranga South,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Bay Of Plenty,5,1,COVID-19,Te Puke,Health Act Breach,New Zealand,4,Western Bay Of Plenty Area
Prosecution,Canterbury,11,1,COVID-19,Christchurch,Health Act Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,10,1,COVID-19,Christchurch South,Health Act Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,4,1,COVID-19,Hornby,Health Act Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,25,1,COVID-19,New Brighton,Health Act Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,18,1,COVID-19,Papanui,Health Act Breach,New Zealand,4,Canterbury Metro Area
Prosecution,Canterbury,1,1,COVID-19,Hanmer Springs,Health Act Breach,New Zealand,4,Canterbury Rural Area
Prosecution,Canterbury,2,1,COVID-19,Kaiapoi,Health Act Breach,New Zealand,4,Canterbury Rural Area
Prosecution,Canterbury,1,1,COVID-19,Lincoln,Health Act Breach,New Zealand,4,Canterbury Rural Area
Prosecution,Canterbury,2,1,COVID-19,Rangiora,Health Act Breach,New Zealand,4,Canterbury Rural Area
Prosecution,Canterbury,5,1,COVID-19,Rolleston,Health Act Breach,New Zealand,4,Canterbury Rural Area
Prosecution,Canterbury,2,1,COVID-19,Ashburton,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Prosecution,Canterbury,1,1,COVID-19,Methven,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Prosecution,Canterbury,2,1,COVID-19,Temuka,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Prosecution,Canterbury,7,1,COVID-19,Timaru,Health Act Breach,New Zealand,4,Mid / South Canterbury Area
Prosecution,Central,1,1,COVID-19,Ashhurst,Health Act Breach,New Zealand,4,Manawatu Area
Prosecution,Central,2,1,COVID-19,Dannevirke,Health Act Breach,New Zealand,4,Manawatu Area
Prosecution,Central,1,1,COVID-19,Foxton,Health Act Breach,New Zealand,4,Manawatu Area
Prosecution,Central,1,1,COVID-19,Pahiatua,Health Act Breach,New Zealand,4,Manawatu Area
Prosecution,Central,4,1,COVID-19,Palmerston North,Health Act Breach,New Zealand,4,Manawatu Area
Prosecution,Central,1,1,COVID-19,Bell Block,Health Act Breach,New Zealand,4,Taranaki Area
Prosecution,Central,1,1,COVID-19,Fitzroy Cpc,Health Act Breach,New Zealand,4,Taranaki Area
Prosecution,Central,1,1,COVID-19,Manaia,Health Act Breach,New Zealand,4,Taranaki Area
Prosecution,Central,2,1,COVID-19,New Plymouth Central,Health Act Breach,New Zealand,4,Taranaki Area
Prosecution,Central,1,1,COVID-19,Waitara,Health Act Breach,New Zealand,4,Taranaki Area
Prosecution,Central,2,1,COVID-19,Taumarunui,Health Act Breach,New Zealand,4,Whanganui Area
Prosecution,Central,11,1,COVID-19,Whanganui,Health Act Breach,New Zealand,4,Whanganui Area
Prosecution,Counties/Manukau,16,1,COVID-19,Manurewa,Health Act Breach,New Zealand,4,Counties Manukau Central Area
Prosecution,Counties/Manukau,5,1,COVID-19,Howick,Health Act Breach,New Zealand,4,Counties Manukau East Area
Prosecution,Counties/Manukau,13,1,COVID-19,Otara,Health Act Breach,New Zealand,4,Counties Manukau East Area
Prosecution,Counties/Manukau,10,1,COVID-19,Papakura,Health Act Breach,New Zealand,4,Counties Manukau South Area
Prosecution,Counties/Manukau,6,1,COVID-19,Pukekohe,Health Act Breach,New Zealand,4,Counties Manukau South Area
Prosecution,Counties/Manukau,2,1,COVID-19,Tuakau,Health Act Breach,New Zealand,4,Counties Manukau South Area
Prosecution,Counties/Manukau,11,1,COVID-19,Mangere,Health Act Breach,New Zealand,4,Counties Manukau West Area
Prosecution,Counties/Manukau,12,1,COVID-19,Otahuhu,Health Act Breach,New Zealand,4,Counties Manukau West Area
Prosecution,Counties/Manukau,13,1,COVID-19,Papatoetoe,Health Act Breach,New Zealand,4,Counties Manukau West Area
